test,width,num_alus,cycles,instructions,cpi,ipc,speedup_vs_w1,regs_match_single_cycle,status
Customize-memory_bound_L1,1,1,3921,3303,1.187103,0.842387,1.0,True,OK
Customize-memory_bound_L1,2,2,2322,3303,0.702997,1.422481,1.68863,True,OK
Customize-memory_bound_L1,4,4,2017,3303,0.610657,1.637581,1.943976,True,OK
Customize-memory_bound_L1,8,8,1917,3303,0.580381,1.723005,2.045383,True,OK
Customize-memory_bound_L2,1,1,1127,1055,1.068246,0.936114,1.0,True,OK
Customize-memory_bound_L2,2,2,622,1055,0.589573,1.696141,1.811897,True,OK
Customize-memory_bound_L2,4,4,483,1055,0.45782,2.184265,2.333333,True,OK
Customize-memory_bound_L2,8,8,472,1055,0.447393,2.235169,2.387712,True,OK
Customize-memory_bound_memory,1,1,2087,2015,1.035732,0.965501,1.0,True,OK
Customize-memory_bound_memory,2,2,1144,2015,0.567742,1.761364,1.824301,True,OK
Customize-memory_bound_memory,4,4,1019,2015,0.505707,1.977429,2.048086,True,OK
Customize-memory_bound_memory,8,8,1012,2015,0.502233,1.991107,2.062253,True,OK
Customize-memory_random,1,1,46901,46808,1.001987,0.998017,1.0,True,OK
Customize-memory_random,2,2,23509,46808,0.502243,1.991067,1.995023,True,OK
Customize-memory_random,4,4,11877,46808,0.253739,3.941063,3.948893,True,OK
Customize-memory_random,8,8,7256,46808,0.155016,6.450937,6.463754,True,OK
LinkedList,1,1,8728,5270,1.656167,0.603804,1.0,True,OK
LinkedList,2,2,7451,5270,1.413852,0.707288,1.171386,True,OK
LinkedList,4,4,6658,5270,1.263378,0.791529,1.310904,True,OK
LinkedList,8,8,6571,5270,1.246869,0.802009,1.328261,True,OK
PointerChase,1,1,10900,10167,1.072096,0.932752,1.0,True,OK
PointerChase,2,2,7628,10167,0.75027,1.332853,1.428946,True,OK
PointerChase,4,4,7588,10167,0.746336,1.339879,1.436479,True,OK
PointerChase,8,8,7585,10167,0.746041,1.340409,1.437047,True,OK
